City,county,state,lat,lon
 Des Moines , King County , Washington , 47.3911294 , -122.31546 
 Mc Micken Heights , King County , Washington , 47.4531965 , -122.285282 
 Bryn Mawr-Skyway , King County , Washington , 47.4943 , -122.24092 
 Spring Beach , King County , Washington , 47.7400975 , -122.3734629 
 Riverton-Boulevard Park , King County , Washington , 47.495792 , -122.312698 
 Gregory Heights , King County , Washington , 47.4559 , -122.361 
 Shorline , King County , Washington , 47.755653 , -122.341515 
 Normandy Park , King County , Washington , 47.435664924 , -122.339331976 
 White Center , King County , Washington , 47.51732 , -122.35485 
 Shorline , King County , Washington , 47.307323 , -122.228455 
 Auburn , King County , Washington , 47.7542651 , -122.1634582 
 Woodinville , King County , Washington , 47.618198 , -122.054672 
 Sammamish , King County , Washington , 47.409665028 , -122.467664796 
 Vashon , King County , Washington , 47.52871 , -121.82539 
 Snaqualmie , King County , Washington , 47.48288 , -122.217064 
 Renton , King County , Washington , 47.673988 , -122.121513 
 Redmond , King County , Washington , 47.502357 , -121.797867 
 North Bend , King County , Washington , 47.37801 , -122.237381 
 Kent , King County , Washington , 47.570656 , -122.222069 
 Mercer Island , King County , Washington , 47.62093 , -122.22762 
 Medina , King County , Washington , 47.373348 , -122.036926 
 Maple Valley , King County , Washington , 47.6814876 , -122.2087353 
 Kirkland , King County , Washington , 47.530102 , -122.032616 
 Issaquah , King County , Washington , 47.7532046 , -122.24631 
 Kenmore , King County , Washington , 47.567326 , -121.888725 
 Fall city , King County , Washington , 47.322323 , -122.312622 
 Federal Way , King County , Washington , 47.201499194 , -121.989829374 
 Enumclaw , King County , Washington , 47.733830398 , -121.971996112 
 Duvall , King County , Washington , 47.648234 , -121.90863 
 Camation , King County , Washington , 47.77167 , -122.204421 
 Bothell , King County , Washington , 47.317332064 , -122.008833298 
 Black Diamond , King County , Washington , 47.610378 , -122.200676
